det_part,timestamp,current
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-07-02 01:30:57,1452.71393443
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-07-16 07:01:03,1582.87092568
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-07-31 00:14:42,1763.45541761
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-08-12 23:03:01,1878.87554348
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-08-24 19:25:25,1926.07271702
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-09-15 02:30:32,2152.10254307
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-10-04 17:29:59,2211.8671356
BPix_BpO_SEC3_LAY14_LAY4_HV,2025-05-29 09:28:53,2074.63097199
BPix_BpO_SEC3_LAY14_LAY4_HV,2025-06-08 04:01:45,2181.59512701
FPix_BpO_D1_ROG4_RNG1_HV,2024-05-13 00:44:08,1476.96634615
FPix_BpO_D1_ROG4_RNG1_HV,2024-05-20 22:24:46,1484.6344086
FPix_BpO_D1_ROG4_RNG1_HV,2024-07-02 01:22:50,1773.25570776
FPix_BpO_D1_ROG4_RNG1_HV,2024-07-16 07:00:20,1883.62725451
FPix_BpO_D1_ROG4_RNG1_HV,2024-07-31 00:09:46,2091.40495868
FPix_BpO_D1_ROG4_RNG1_HV,2024-08-12 22:58:38,2242.42982456
FPix_BpO_D1_ROG4_RNG1_HV,2024-08-24 19:12:12,2208.95880261
FPix_BpO_D1_ROG4_RNG1_HV,2024-09-15 02:29:32,2501.33492063
FPix_BpO_D1_ROG4_RNG1_HV,2024-10-04 17:15:02,2614.83557549
FPix_BpO_D1_ROG4_RNG1_HV,2025-05-29 09:17:42,2451.86600496
FPix_BpO_D1_ROG4_RNG1_HV,2025-06-08 03:53:35,2679.24904215
FPix_BmI_D1_ROG4_RNG2_HV,2024-05-13 01:04:56,969.404347826
FPix_BmI_D1_ROG4_RNG2_HV,2024-05-20 22:31:26,1008.2826087
FPix_BmI_D1_ROG4_RNG2_HV,2024-07-02 01:29:31,1131.90123457
FPix_BmI_D1_ROG4_RNG2_HV,2024-07-16 06:53:12,1210.0
FPix_BmI_D1_ROG4_RNG2_HV,2024-07-31 00:16:55,1334.88321168
FPix_BmI_D1_ROG4_RNG2_HV,2024-08-12 22:53:03,1397.17171717
FPix_BmI_D1_ROG4_RNG2_HV,2024-08-24 18:22:33,1393.76407285
FPix_BmI_D1_ROG4_RNG2_HV,2024-09-15 02:22:50,1602.7
FPix_BmI_D1_ROG4_RNG2_HV,2024-10-04 17:37:21,1643.32797428
FPix_BmI_D1_ROG4_RNG2_HV,2025-05-29 09:10:57,1547.91366906
FPix_BmI_D1_ROG4_RNG2_HV,2025-06-08 03:56:29,1689.84279476
